City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Atbasar,KZ,51.8,68.3333,70.97,43,100,9.64,overcast clouds
201,Reconquista,AR,-29.15,-59.65,66.88,45,0,7.27,clear sky
202,Soverato,IT,38.685,16.5499,81.16,49,0,3.96,clear sky
203,Amalapuram,IN,16.5833,82.0167,80.53,86,95,4.38,overcast clouds
204,Pangody,RU,65.85,74.4859,61.75,57,100,10.29,overcast clouds
205,Thunder Bay,CA,48.4001,-89.3168,57.56,93,100,7.27,overcast clouds
206,Kalmunai,LK,7.4167,81.8167,78.71,87,80,4.18,broken clouds
207,Locri,IT,38.2414,16.2623,81.32,62,0,5.75,clear sky
208,Mantua,IT,45.1667,10.7833,90.64,47,0,1.99,clear sky
209,Ciudad Guayana,VE,8.3533,-62.6528,86.52,72,61,2.64,broken clouds
210,Dombarovskiy,RU,50.7587,59.5386,76.93,47,23,12.62,few clouds
211,Saint-Leu,RE,-21.15,55.2833,67.06,67,30,3.91,scattered clouds
212,Rubtsovsk,RU,51.5,81.25,55.26,88,80,4.92,broken clouds
213,Beloha,MG,-25.1667,45.05,67.24,53,0,12.68,clear sky
214,Vardo,NO,70.3705,31.1107,55.38,94,100,2.3,overcast clouds
215,Itambacuri,BR,-18.0311,-41.685,73.49,64,63,7.65,broken clouds
216,Moose Factory,CA,51.2585,-80.6094,61.56,67,100,3.74,overcast clouds
217,Pucallpa,PE,-8.3791,-74.5539,87.84,55,40,12.66,scattered clouds
218,Kyshtovka,RU,56.555,76.6271,59.04,74,86,5.68,overcast clouds
219,Cuamba,MZ,-14.8031,36.5372,70.52,52,98,3.0,overcast clouds
220,Atar,MR,20.5169,-13.0499,108.61,9,96,13.53,overcast clouds
221,Kutum,SD,14.2,24.6667,82.78,41,26,11.7,scattered clouds
222,Stepnyak,KZ,52.8339,70.7803,65.43,57,79,6.13,broken clouds
223,Paamiut,GL,61.994,-49.6678,43.83,99,100,3.51,light rain
224,Narino,CO,5.6089,-75.1766,78.82,46,47,5.73,scattered clouds
225,Ambilobe,MG,-13.2,49.05,71.1,62,1,10.71,clear sky
226,Pitimbu,BR,-7.4706,-34.8086,81.19,75,0,13.94,clear sky
227,Kayerkan,RU,69.3497,87.7602,48.63,70,29,3.8,scattered clouds
228,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,93,75,9.22,broken clouds
229,Roald,NO,62.5833,6.1333,76.12,82,0,10.36,clear sky
230,Itaquyry,PY,-24.9333,-55.2167,81.46,56,8,1.48,clear sky
231,Ostersund,SE,63.1792,14.6357,59.61,62,100,3.44,overcast clouds
232,Lima,PE,-12.0432,-77.0282,70.9,67,100,5.75,overcast clouds
233,Malakal,SS,9.5334,31.6605,70.7,88,91,3.13,light rain
234,Turayf,SA,31.6725,38.6637,92.89,16,0,12.71,clear sky
235,Vera Cruz,BR,-12.6333,-41.0333,76.26,50,51,8.99,broken clouds
236,Sistranda,NO,63.7256,8.834,57.16,89,100,12.44,light rain
237,Trairi,BR,-3.2778,-39.2689,84.0,64,26,12.77,scattered clouds
238,Honningsvag,NO,70.9821,25.9704,53.35,87,100,16.11,overcast clouds
239,Bengkulu,ID,-3.8004,102.2655,76.6,92,37,4.38,scattered clouds
240,Macia,MZ,-25.0269,33.0989,68.94,81,96,5.14,overcast clouds
241,Klaksvik,FO,62.2266,-6.589,52.72,86,100,14.45,overcast clouds
242,Constitucion,CL,-35.3333,-72.4167,56.77,57,6,12.8,clear sky
243,Chicama,PE,-7.8447,-79.1469,59.54,58,37,8.97,scattered clouds
244,Geraldton,AU,-28.7667,114.6,54.01,94,100,4.61,overcast clouds
245,Carnarvon,AU,-24.8667,113.6333,64.72,54,59,9.35,broken clouds
246,Bantry,IE,51.6833,-9.45,62.78,73,64,10.87,broken clouds
247,Touros,BR,-5.1989,-35.4608,79.72,72,26,17.87,scattered clouds
248,Coihaique,CL,-45.5752,-72.0662,42.75,81,75,9.22,shower rain
249,Narsaq,GL,60.9167,-46.05,55.62,82,100,2.26,overcast clouds
250,Port Hawkesbury,CA,45.6169,-61.3485,73.9,97,100,11.99,overcast clouds
