City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Mikhaylovka,RU,2022-07-19 18:21:03,50.06,43.2379,64.94,51,25,8.14
134,Limon,CR,2022-07-19 18:19:04,10.0,-83.0333,80.49,89,100,8.05
135,Grindavik,IS,2022-07-19 18:12:54,63.8424,-22.4338,57.67,72,0,12.66
136,Natal,BR,2022-07-19 18:19:14,-5.795,-35.2094,81.25,74,75,11.5
137,Cidreira,BR,2022-07-19 18:22:03,-30.1811,-50.2056,61.16,71,65,8.14
138,Saint-Joseph,RE,2022-07-19 18:22:03,-21.3667,55.6167,68.38,78,28,18.9
139,Meulaboh,ID,2022-07-19 18:22:04,4.1363,96.1285,76.35,85,73,3.83
140,Nouadhibou,MR,2022-07-19 18:22:04,20.931,-17.0347,71.58,83,15,19.57
141,Chapais,CA,2022-07-19 18:22:04,49.7834,-74.8492,64.18,85,100,12.08
142,Inyonga,TZ,2022-07-19 18:22:05,-6.7167,32.0667,70.56,44,89,4.63
143,Saraland,US,2022-07-19 18:22:05,30.8207,-88.0706,92.55,68,92,5.95
144,Abu Dhabi,AE,2022-07-19 18:19:19,24.4667,54.3667,98.71,67,0,6.91
145,Adrar,MR,2022-07-19 18:22:06,20.5022,-10.0711,106.84,6,2,10.85
146,Uruzgan,AF,2022-07-19 18:22:06,32.8333,66.0,88.07,21,0,4.74
147,Saint-Francois,FR,2022-07-19 18:22:06,46.4154,3.9054,96.24,24,0,9.22
148,Saint George,US,2022-07-19 18:15:04,37.1041,-113.5841,101.79,23,0,3.44
149,Gerede,TR,2022-07-19 18:22:07,40.8008,32.1969,55.56,93,96,3.89
150,Lodwar,KE,2022-07-19 18:22:07,3.1191,35.5973,84.87,38,70,5.7
151,Ponta Do Sol,PT,2022-07-19 18:16:54,32.6667,-17.1,76.71,71,0,5.82
152,Novaya Ladoga,RU,2022-07-19 18:22:08,60.1025,32.3019,61.57,70,35,5.61
153,Bilma,NE,2022-07-19 18:13:24,18.6853,12.9164,98.38,13,9,4.25
154,Monkey Bay,MW,2022-07-19 18:22:08,-14.0728,34.9201,75.34,57,79,7.7
155,Limbach-Oberfrohna,DE,2022-07-19 18:22:08,50.8667,12.75,89.47,33,40,5.1
156,Clyde River,CA,2022-07-19 18:17:51,70.4692,-68.5914,37.63,100,100,9.22
157,Hualmay,PE,2022-07-19 18:22:09,-11.0964,-77.6139,66.31,72,94,9.13
158,Lubao,PH,2022-07-19 18:22:09,14.9167,120.55,80.31,87,20,0.47
159,Ambilobe,MG,2022-07-19 18:22:10,-13.2,49.05,71.06,65,44,10.29
160,Gasa,PS,2022-07-19 18:22:10,31.5,34.4667,82.89,71,0,6.44
161,Sisimiut,GL,2022-07-19 18:22:11,66.9395,-53.6735,47.21,80,100,1.28
162,Sawai Madhopur,IN,2022-07-19 18:22:11,25.9833,76.3667,88.43,64,57,6.24
163,Lagoa,PT,2022-07-19 18:22:11,39.05,-27.9833,70.0,93,64,14.76
164,Moussoro,TD,2022-07-19 18:22:12,13.6408,16.4901,90.9,43,30,11.03
165,Kruisfontein,ZA,2022-07-19 18:16:45,-34.0033,24.7314,55.89,89,86,13.42
166,Rafaela,AR,2022-07-19 18:22:12,-31.2503,-61.4867,71.01,29,0,4.0
167,Nikki,BJ,2022-07-19 18:22:13,9.9401,3.2108,76.35,69,81,6.02
168,Brindisi,IT,2022-07-19 18:17:18,40.5833,17.6667,85.8,39,0,7.09
169,Khamamatyurt,RU,2022-07-19 18:22:14,43.6081,46.5006,82.04,50,100,5.99
170,Rio Gallegos,AR,2022-07-19 18:21:33,-51.6226,-69.2181,44.65,61,0,29.93
171,Salym,RU,2022-07-19 18:22:14,60.0625,71.4789,59.65,74,78,2.35
172,Riyadh,SA,2022-07-19 18:22:14,24.6877,46.7219,100.54,10,19,10.27
173,Kulhudhuffushi,MV,2022-07-19 18:22:15,6.6221,73.07,80.78,81,98,18.52
174,Calvia,ES,2022-07-19 18:22:15,39.5657,2.5062,90.41,61,0,4.52
175,Pio Xii,BR,2022-07-19 18:22:15,-3.8325,-45.1525,89.47,44,59,4.74
176,Kangavar,IR,2022-07-19 18:22:16,34.5043,47.9653,84.2,11,1,7.9
177,Dikson,RU,2022-07-19 18:18:02,73.5069,80.5464,45.0,82,92,14.32
178,Otavi,NA,2022-07-19 18:22:16,-19.65,17.3333,59.07,29,0,4.43
179,Aktash,RU,2022-07-19 18:22:16,50.3,87.7333,36.93,86,87,3.65
180,Rawson,AR,2022-07-19 18:16:53,-43.3002,-65.1023,59.72,26,68,28.03
181,Castro,BR,2022-07-19 18:22:17,-24.7911,-50.0119,72.01,64,13,4.61
182,Vondrozo,MG,2022-07-19 18:22:17,-22.8167,47.2833,57.2,92,56,2.66
183,Snezhnogorsk,RU,2022-07-19 18:22:18,69.1933,33.2531,62.38,71,100,12.95
184,Zatoka,UA,2022-07-19 18:23:18,46.0725,30.4654,72.23,58,9,10.71
185,Sao Paulo De Olivenca,BR,2022-07-19 18:23:18,-3.3783,-68.8725,86.77,57,81,5.44
186,Melo,UY,2022-07-19 18:23:19,-32.3667,-54.1833,56.66,72,0,9.69
